search,ICD9,ICD9 Description
42731,427.31,Atrial fibrillation
42732,427.32,Atrial flutter
4270,427,Paroxysmal supraventricular tachycardia
4271,427.1,Paroxysmal ventricular tachycardia
42090,420.9,"Acute pericarditis, unspecified"
4254,425.4,Other primary cardiomyopathies
4423,442.3,Aneurysm of artery of lower extremity
9971,997.1,"Cardiac complications, not elsewhere classified"
4280,428,"Congestive heart failure, unspecified"
42789,427.89,Other specified cardiac dysrhythmias
5185,518.5,Pulmonary insufficiency following trauma and surgery
42823,428.23,Acute on chronic systolic heart failure
5589,558.9,Other and unspecified noninfectious gastroenteritis and colitis
43491,434.91,"Cerebral artery occlusion, unspecified with cerebral infarction"
7963,796.3,Nonspecific low blood pressure reading
4239,423.9,Unspecified disease of pericardium
49121,491.21,Obstructive chronic bronchitis with (acute) exacerbation
51851,518.51,Acute respiratory failure following trauma and surgery
9975,997.5,"Urinary complications, not elsewhere classified"
42769,427.69,Other premature beats
42781,427.81,Sinoatrial node dysfunction
4240,424,Mitral valve disorders
99812,998.12,Hematoma complicating a procedure
59970,599.7,"Hematuria, unspecified"
9982,998.2,"Accidental puncture or laceration during a procedure, not elsewhere classified"
I480,427.31,Atrial fibrillation
42833,428.33,Acute on chronic diastolic heart failure
I481,427.31,Atrial fibrillation
I482,427.31,Atrial fibrillation
I4891,427.31,Atrial fibrillation
I471,427.1,Paroxysmal supraventricular tachycardia
I484,427.32,Atrial flutter
I495,427.81,Sinoatrial node dysfunction
I313,423.9,Unspecified disease of pericardium
I9751,998.2,"Accidental puncture or laceration during a procedure, not elsewhere classified"
J95811,512.1,Iatrogenic pneumothorax
I4892,427.32,Atrial flutter
K8000,574,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction"
L7622,998.11,Hemorrhage complicating a procedure
I2109,410.01,"Acute myocardial infarction of anterolateral wall, initial episode of care"
I9789,997.1,"Cardiac complications, not elsewhere classified"
I5023,428.23,Acute on chronic systolic heart failure
I472,427.1,Paroxysmal ventricular tachycardia
J441,491.21,Obstructive chronic bronchitis with (acute) exacerbation
I350,424.1,Aortic valve disorders
J95831,998.11,Hemorrhage complicating a procedure
I9752,998.2,"Accidental puncture or laceration during a procedure, not elsewhere classified"
K529,558.9,Other and unspecified noninfectious gastroenteritis and colitis
I97618,998.11,Hemorrhage complicating a procedure
I97418,998.11,Hemorrhage complicating a procedure
I25110,414.01,Coronary atherosclerosis of native coronary artery
I9581,458.29,Other iatrogenic hypotension
I441,426.12,Mobitz (type) II atrioventricular block
I300,420.91,Acute idiopathic pericarditis
I319,423.9,Unspecified disease of pericardium
M9689,997.99,"Complications affecting other specified body systems, not elsewhere classified"
J80,518.82,"Other pulmonary insufficiency, not elsewhere classified"
I97190,429.4,Functional disturbances following cardiac surgery
I639,434.91,"Cerebral artery occlusion, unspecified with cerebral infarction"
I110,402.01,Malignant hypertensive heart disease with heart failure
I442,426,"Atrioventricular block, complete"
2724,272.4,Other and unspecified hyperlipidemia
40291,402.91,Unspecified hypertensive heart disease with heart failure
3559,355.9,Mononeuritis of unspecified site
41401,414.01,Coronary atherosclerosis of native coronary artery
25000,250,"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled"
2449,244.9,Unspecified acquired hypothyroidism
2720,272,Pure hypercholesterolemia
42820,428.2,"Systolic heart failure, unspecified"
28521,285.21,Anemia in chronic kidney disease
4019,401.9,Unspecified essential hypertension
40210,402.1,Benign hypertensive heart disease without heart failure
27800,278,"Obesity, unspecified"
2749,274.9,"Gout, unspecified"
7032,7032,Chronic viral hepatitis B without mention of hepatic coma without mention of hepatitis delta
5410,5410,"Genital herpes, unspecified"
2440,244,Postsurgical hypothyroidism
42832,428.32,Chronic diastolic heart failure
2410,2410,Nontoxic uninodular goiter
25040,250.4,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled"
29281,292.81,Drug-induced delirium
4230,423,Hemopericardium
4589,458.9,"Hypotension, unspecified"
2859,285.9,"Anemia, unspecified"
9041,904.1,Injury to superficial femoral artery
2752,275.2,Disorders of magnesium metabolism
30000,300,"Anxiety state, unspecified"
2875,287.5,"Thrombocytopenia, unspecified"
27801,278.01,Morbid obesity
312,312,Disturbance of conduct not elsewhere classified
4260,426,"Atrioventricular block, complete"
V420,V42.0,Kidney replaced by transplant
2768,276.8,Hypopotassemia
389,389,Unspecified septicemia
42511,425.11,Hypertrophic obstructive cardiomyopathy
3970,397,Diseases of tricuspid valve
51852,518.52,"Other pulmonary insufficiency, not elsewhere classified, following trauma and surgery"
311,311,"Depressive disorder, not elsewhere classified"
486,486,"Pneumonia, organism unspecified"
42611,426.11,First degree atrioventricular block
53081,530.81,Esophageal reflux
4168,416.8,Other chronic pulmonary heart diseases
42842,428.42,Chronic combined systolic and diastolic heart failure
V1046,V10.46,Personal history of malignant neoplasm of prostate
2809,280.9,"Iron deficiency anemia, unspecified"
32723,327.23,Obstructive sleep apnea (adult)(pediatric)
4264,426.4,Right bundle branch block
27669,276.69,Other fluid overload
4011,401.1,Benign essential hypertension
5849,584.9,"Acute kidney failure, unspecified"
3940,394,Mitral stenosis
2763,276.3,Alkalosis
43820,438.2,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side"
42831,428.31,Acute diastolic heart failure
2761,276.1,Hyposmolality and/or hyponatremia
41400,414,"Coronary atherosclerosis of unspecified type of vessel, native or graft"
4412,441.2,Thoracic aneurysm without mention of rupture
135,135,Sarcoidosis
2851,285.1,Acute posthemorrhagic anemia
2448,244.8,Other specified acquired hypothyroidism
9473,947.3,Burn of gastrointestinal tract
2593,259.3,"Ectopic hormone secretion, not elsewhere classified"
2384,238.4,Polycythemia vera
42822,428.22,Chronic systolic heart failure
34590,345.9,"Epilepsy, unspecified, without mention of intractable epilepsy"
9972,997.2,"Peripheral vascular complications, not elsewhere classified"
